Order Date,Country,Region,Sales Rep,Category,Product,Sales,Profit,Discount
2023-12-13,India,South,Kaylee Wheeler,Electronics,Headphones,887.01,118.46,160.16
2023-03-07,India,North,Michelle Adams,Clothing,Jeans,1304.34,215.29,200.31
2022-03-16,USA,North,Casey Manning,Furniture,Table,958.15,92.23,35.02
2024-01-10,India,South,Christopher Smith,Clothing,Jeans,1475.63,139.34,197.0
2023-09-22,Germany,East,Pamela Knapp,Sports,Basketball,947.0,172.11,119.01
2024-10-30,India,West,Mitchell Carter,Clothing,Shoes,1940.48,432.48,259.08
2024-01-08,Germany,South,Pamela Knapp,Sports,Cycling Helmet,346.39,98.57,48.94
2024-11-10,USA,East,Pamela Knapp,Furniture,Cabinet,1161.41,184.2,40.68
2023-06-25,India,West,Erica Singh,Clothing,Hat,174.32,15.75,3.51
2025-02-04,USA,East,Erica Singh,Clothing,Jeans,636.34,72.97,102.91
2025-01-09,India,North,Michelle Adams,Sports,Football,1916.6,407.25,328.23
2022-07-20,India,East,Erica Singh,Grocery,Vegetables,744.96,156.23,86.99
2024-09-11,India,East,Pamela Knapp,Sports,Football,1024.43,260.46,43.75
2024-12-24,India,West,Mitchell Carter,Grocery,Bread,576.31,103.54,88.39
2024-05-22,India,North,James Warren,Furniture,Chair,1331.79,75.56,41.38
2023-12-18,Germany,South,Mitchell Carter,Furniture,Cabinet,949.31,223.14,88.36
2024-10-20,Canada,North,Cody Silva,Grocery,Milk,1358.96,325.14,73.49
2022-12-15,Germany,North,Cody Silva,Sports,Tennis Racket,1739.84,171.91,295.16
2023-12-20,Canada,East,Cody Silva,Clothing,Jeans,556.41,87.47,91.23
2023-04-15,UK,West,Michelle Adams,Electronics,Smartwatch,1674.96,449.89,167.97
2024-10-26,Canada,South,Casey Manning,Furniture,Cabinet,734.91,186.44,35.43
2023-06-04,USA,East,Pamela Knapp,Clothing,T-shirt,211.61,52.94,11.99
2024-09-01,Germany,West,Christopher Smith,Sports,Tennis Racket,616.41,129.62,33.09
2024-11-05,UK,West,Michelle Adams,Grocery,Milk,719.24,115.97,103.97
2024-03-26,Germany,West,Christopher Smith,Grocery,Vegetables,1065.57,226.22,96.8
2024-06-02,UK,West,Danielle Valdez,Grocery,Vegetables,48.79,12.55,9.3
2023-07-11,Canada,North,James Warren,Sports,Basketball,601.38,62.19,51.6
2023-03-30,Germany,West,Mitchell Carter,Furniture,Chair,1668.34,252.19,143.54
2022-12-06,UK,North,Kaylee Wheeler,Furniture,Desk,694.35,109.72,42.58
2024-10-12,Canada,North,Casey Manning,Sports,Football,60.21,13.05,10.33
2022-11-08,Canada,North,Kaylee Wheeler,Grocery,Milk,293.32,78.67,29.51
2023-09-29,Canada,East,Erica Singh,Sports,Football,1766.89,231.65,315.04
2023-08-13,Germany,South,Casey Manning,Sports,Tennis Racket,1779.15,146.23,262.45
2022-03-09,India,South,James Warren,Sports,Football,1249.78,308.25,230.94
2023-08-22,Germany,North,James Warren,Grocery,Fruits,1979.17,527.22,262.67
2023-08-02,Canada,South,Erica Singh,Furniture,Desk,286.7,33.37,22.7
2022-02-24,Canada,East,James Warren,Grocery,Eggs,750.33,101.81,92.76
2023-09-23,USA,East,Danielle Valdez,Grocery,Milk,1407.93,345.37,81.31
2024-10-24,UK,North,Kaylee Wheeler,Clothing,Jeans,1805.49,107.94,199.59
2023-11-28,Germany,North,Danielle Valdez,Electronics,Smartwatch,146.19,21.54,6.63
2022-10-07,USA,East,James Warren,Electronics,Tablet,1222.01,304.9,61.76
2024-09-16,USA,South,Casey Manning,Grocery,Vegetables,606.02,176.36,54.21
2024-09-24,Canada,North,Casey Manning,Furniture,Table,1500.13,255.61,78.47
2024-04-26,India,North,Kaylee Wheeler,Sports,Yoga Mat,1717.83,130.78,178.81
2024-01-12,India,South,Cody Silva,Sports,Yoga Mat,716.49,121.1,120.68
2023-02-21,India,South,Kaylee Wheeler,Clothing,Hat,1102.48,110.08,88.79
2023-08-26,UK,West,Mitchell Carter,Electronics,Laptop,476.9,131.11,64.16
2022-08-28,USA,South,Pamela Knapp,Sports,Basketball,394.4,48.65,46.05
2022-06-03,UK,East,Kaylee Wheeler,Sports,Yoga Mat,32.61,5.43,2.43
2024-09-08,USA,South,Cody Silva,Furniture,Cabinet,1650.78,401.74,72.0
2023-10-07,UK,West,Christopher Smith,Grocery,Bread,97.72,15.36,5.86
2024-12-12,Germany,East,Danielle Valdez,Grocery,Milk,43.82,7.44,0.52
2024-02-01,Canada,East,Pamela Knapp,Sports,Yoga Mat,1413.55,281.98,192.17
2023-04-13,Germany,East,Kaylee Wheeler,Clothing,Hat,123.99,29.13,7.1
2023-08-24,UK,West,Pamela Knapp,Electronics,Laptop,1016.86,99.41,28.28
2023-10-23,USA,West,Michelle Adams,Furniture,Table,1440.69,410.01,273.69
2025-01-23,Germany,South,Michelle Adams,Grocery,Vegetables,856.98,211.75,120.07
2023-12-03,USA,West,Casey Manning,Electronics,Tablet,1208.27,203.7,173.06
